Whisky Name,Link,Tags,Nose Score,Nose Comment,Taste Score,Taste Comment,Finish Score,Finish Comment,document_text
Port Ellen1982 JW,https://www.whiskybase.com/whiskies/whisky/2255/port-ellen-1982-jw,Cooked Vegetable,,"Heavy sherry, maraschino cherries, plum, pancakes with sugar, must, peat, ozone, sulfur, leather, strong coffee and a mixture of spices that is not easy to differentiate, enveloped by distant smoke.",,"At the beginning a real spice shop: clove, allspice, nutmeg, pepper ginger. Menthol, matchheads, carbon soot and tar come later.",,"Warm wood tones, hot tar, dry sherry, liquorice and smoke.","위스키 이름: Port Ellen1982 JW
태그: Cooked Vegetable

향(Nose): Heavy sherry, maraschino cherries, plum, pancakes with sugar, must, peat, ozone, sulfur, leather, strong coffee and a mixture of spices that is not easy to differentiate, enveloped by distant smoke.

맛(Taste): At the beginning a real spice shop: clove, allspice, nutmeg, pepper ginger. Menthol, matchheads, carbon soot and tar come later.

피니쉬(Finish): Warm wood tones, hot tar, dry sherry, liquorice and smoke."
Highland Park1973,https://www.whiskybase.com/whiskies/whisky/19501/highland-park-1973,,92.0,"Vanilla, exotic fruits, ripe banana, mango, papaya, hay, custard cream, creme brulee, icing sugar, condensed milk or cream, hint of lemon peel, spices, white pepper, whiff of oak wood - very good!",93.0,"Punchy, oily, creamy, more ripe banana, vanilla, icing sugar, good sweetness, almonds, candy, custard cream, little citric, lemon, oak wood, hint of tobacco - great!",93.0,"Long, warm, fruity, vanilla, spices, oak wood, banana","위스키 이름: Highland Park1973

향(Nose) [점수: 92.0]: Vanilla, exotic fruits, ripe banana, mango, papaya, hay, custard cream, creme brulee, icing sugar, condensed milk or cream, hint of lemon peel, spices, white pepper, whiff of oak wood - very good!

맛(Taste) [점수: 93.0]: Punchy, oily, creamy, more ripe banana, vanilla, icing sugar, good sweetness, almonds, candy, custard cream, little citric, lemon, oak wood, hint of tobacco - great!

피니쉬(Finish) [점수: 93.0]: Long, warm, fruity, vanilla, spices, oak wood, banana"
Glendronach1971,https://www.whiskybase.com/whiskies/whisky/22628/glendronach-1971,Fragant,,"Intense, nutty, dried fruits, dates, plums, nutmeg, cloves, dark chocolate, tobacco, whiffs of leather and smoke - great!",,"Oily, creamy, more nutty, plenty of dried fruits, apricvots, good sweetness balanced with finest sherry wood, mocha, also cooked oranges, more spices - superb!",,"Long, warm, spicy, more hints of leather and smoke, not drying - very good","위스키 이름: Glendronach1971
태그: Fragant

향(Nose): Intense, nutty, dried fruits, dates, plums, nutmeg, cloves, dark chocolate, tobacco, whiffs of leather and smoke - great!

맛(Taste): Oily, creamy, more nutty, plenty of dried fruits, apricvots, good sweetness balanced with finest sherry wood, mocha, also cooked oranges, more spices - superb!

피니쉬(Finish): Long, warm, spicy, more hints of leather and smoke, not drying - very good"
Pride of Strathspey1937 GM,https://www.whiskybase.com/whiskies/whisky/160129/pride-of-strathspey-1937-gm,,89.0,"A pleasant light nose, black currant, red currant, a little furniture polish, then some yellow plum emerges which really lifts this.\nA little spice & a little oak, you really have to work at this one, it is a little distant.\nAfter 10 minutes a hints of Turkish Delight.",91.0,"Nice mouthfeel, very spicy and fruity but also a little hot for 40%, not the best balance on show with a little wood but within acceptable levels.\nA little blackberry & raspberry but it is the peat mixing with the sherry that gets your attention",89.0,"Quite a long finish for 40%, the oak is staring to come through but the sherry holds it in check.","위스키 이름: Pride of Strathspey1937 GM

향(Nose) [점수: 89.0]: A pleasant light nose, black currant, red currant, a little furniture polish, then some yellow plum emerges which really lifts this.\nA little spice & a little oak, you really have to work at this one, it is a little distant.\nAfter 10 minutes a hints of Turkish Delight.

맛(Taste) [점수: 91.0]: Nice mouthfeel, very spicy and fruity but also a little hot for 40%, not the best balance on show with a little wood but within acceptable levels.\nA little blackberry & raspberry but it is the peat mixing with the sherry that gets your attention

피니쉬(Finish) [점수: 89.0]: Quite a long finish for 40%, the oak is staring to come through but the sherry holds it in check."
Macallan1970 MI,https://www.whiskybase.com/whiskies/whisky/3714/macallan-1970-mi,,97.0,"Dried fruits and cooked oranges galore, plums, prune, figs, acacia honey, wet tobacco, jam, little molasses, toffee, spices, cloves, little nutmeg, xmas spice, gingerbread, finest sherry wood - superb!",96.0,"Oily, creamy, good sweetness, little liquorice, more cooked oranges, acacia honey, molasses, toffee, chocolate, dried fruits, spices, sherry wood - excellent!",95.0,"Long, warm, fruity, spicy, heavy sherry, still good sweetness - great!","위스키 이름: Macallan1970 MI

향(Nose) [점수: 97.0]: Dried fruits and cooked oranges galore, plums, prune, figs, acacia honey, wet tobacco, jam, little molasses, toffee, spices, cloves, little nutmeg, xmas spice, gingerbread, finest sherry wood - superb!

맛(Taste) [점수: 96.0]: Oily, creamy, good sweetness, little liquorice, more cooked oranges, acacia honey, molasses, toffee, chocolate, dried fruits, spices, sherry wood - excellent!

피니쉬(Finish) [점수: 95.0]: Long, warm, fruity, spicy, heavy sherry, still good sweetness - great!"
Longrow1973,https://www.whiskybase.com/whiskies/whisky/10906/longrow-1973,"Leathery,Old Wood,Smokey",90.0,Nose like a good Springbank with a hint of smoke. Becomes more smokey over time. Not as magical as the sherried version of this 1973.,90.0,"Waxy, stone fruits, peat (a bit like Caol Ila/Islay)",89.0,"Lingering peat, a bit peppery. Perhaps this lost a bit of its magic in the mini.","위스키 이름: Longrow1973
태그: Leathery,Old Wood,Smokey

향(Nose) [점수: 90.0]: Nose like a good Springbank with a hint of smoke. Becomes more smokey over time. Not as magical as the sherried version of this 1973.

맛(Taste) [점수: 90.0]: Waxy, stone fruits, peat (a bit like Caol Ila/Islay)

피니쉬(Finish) [점수: 89.0]: Lingering peat, a bit peppery. Perhaps this lost a bit of its magic in the mini."
Brora4th Release,https://www.whiskybase.com/whiskies/whisky/300/brora-4th-release,,93.0,"Fairly dirty nose on barn, hay, earth. Peat. Undergrowth. Very camphoric fruits.\nDust, old book. Lemon, green wood.",93.0,"In the mouth it is very round on citrus, barn, hay, clove, red pepper.\nMusk, undergrowth.",93.0,"Finale on musk, undergrowth, perspiration. Peat. Pineapple in syrup.","위스키 이름: Brora4th Release

향(Nose) [점수: 93.0]: Fairly dirty nose on barn, hay, earth. Peat. Undergrowth. Very camphoric fruits.\nDust, old book. Lemon, green wood.

맛(Taste) [점수: 93.0]: In the mouth it is very round on citrus, barn, hay, clove, red pepper.\nMusk, undergrowth.

피니쉬(Finish) [점수: 93.0]: Finale on musk, undergrowth, perspiration. Peat. Pineapple in syrup."
Glenfarclas1962,https://www.whiskybase.com/whiskies/whisky/7059/glenfarclas-1962,,92.0,"Dried fruits, hints of solvent, spices, cloves, new furniture, shoe polish, sherry wood, tobacco, molasses, brown sugar, toasted bread, dark chcocolate - very good",92.0,"Very punchy, oily, liquorice, cooked fruits and oranges galore, more burned sugar, little sweetness, oak wood, herbs, thyme, dark chocolate - great",90.0,"Long, warm, zesty, more tannins, not really drying","위스키 이름: Glenfarclas1962

향(Nose) [점수: 92.0]: Dried fruits, hints of solvent, spices, cloves, new furniture, shoe polish, sherry wood, tobacco, molasses, brown sugar, toasted bread, dark chcocolate - very good

맛(Taste) [점수: 92.0]: Very punchy, oily, liquorice, cooked fruits and oranges galore, more burned sugar, little sweetness, oak wood, herbs, thyme, dark chocolate - great

피니쉬(Finish) [점수: 90.0]: Long, warm, zesty, more tannins, not really drying"
Glen Grant1959 Sa,https://www.whiskybase.com/whiskies/whisky/37839/glen-grant-1959-sa,,,"With extremely heavy soil, wet floor, dry wood chips, and dry tobacco as the central axis, the peat with strong soil texture is relatively inconspicuous, and the animal fat is strong, like butter, suet and rice. A Middle Eastern pilaf with a strong aroma, with obvious protein and sulfur . But with parsley baked and dried, dust from old wine houses, carpets that haven't been washed in ages. In conclusion, it has obvious old-fashioned feeling, and the flavor is more gloomy. 92",,"Strong acidity, good state, citric acid, nutty, raw and firm, oloroso, a lot of caramel and maltose, and a lot of crisp tropical fruits at the end, pineapple rice, chakra fruit, funk mixed with a little gasoline. On the palate, the flavor base is balanced and finished with a heavy peppery finish, just like modern tesca. The wine is light, sweet and sour, and the flavor is condensed and simple. The tail has some bottle-aged oxidation, old newspaper, overripe tropical fruit, caramelization, etc. 92",,"Sweet, refreshing, without bitterness, peppery, comfortable and simple, slightly spicy, but innocuous. 92","위스키 이름: Glen Grant1959 Sa

향(Nose): With extremely heavy soil, wet floor, dry wood chips, and dry tobacco as the central axis, the peat with strong soil texture is relatively inconspicuous, and the animal fat is strong, like butter, suet and rice. A Middle Eastern pilaf with a strong aroma, with obvious protein and sulfur . But with parsley baked and dried, dust from old wine houses, carpets that haven't been washed in ages. In conclusion, it has obvious old-fashioned feeling, and the flavor is more gloomy. 92

맛(Taste): Strong acidity, good state, citric acid, nutty, raw and firm, oloroso, a lot of caramel and maltose, and a lot of crisp tropical fruits at the end, pineapple rice, chakra fruit, funk mixed with a little gasoline. On the palate, the flavor base is balanced and finished with a heavy peppery finish, just like modern tesca. The wine is light, sweet and sour, and the flavor is condensed and simple. The tail has some bottle-aged oxidation, old newspaper, overripe tropical fruit, caramelization, etc. 92

피니쉬(Finish): Sweet, refreshing, without bitterness, peppery, comfortable and simple, slightly spicy, but innocuous. 92"
Dalmore1974,https://www.whiskybase.com/whiskies/whisky/3861/dalmore-1974,,93.0,"Beautifully put together. Zesty orange and grapefruit jam, soaked fruit cake, then fully ripe pink grapefruit, cut flowers, a bouquet of cloves, patchouli, salt, minimal smoke and nuts. Amazingly fresh and fruity but very elegant at the same time.",92.0,"Spicy sherry, again oranges, leather, cloves, fine black tea, patchouli, sherry, potpourri, furniture polish, wax and linen.",92.0,"Long, dry, noble fruit compote full of spices, some smoke and salt.","위스키 이름: Dalmore1974

향(Nose) [점수: 93.0]: Beautifully put together. Zesty orange and grapefruit jam, soaked fruit cake, then fully ripe pink grapefruit, cut flowers, a bouquet of cloves, patchouli, salt, minimal smoke and nuts. Amazingly fresh and fruity but very elegant at the same time.

맛(Taste) [점수: 92.0]: Spicy sherry, again oranges, leather, cloves, fine black tea, patchouli, sherry, potpourri, furniture polish, wax and linen.

피니쉬(Finish) [점수: 92.0]: Long, dry, noble fruit compote full of spices, some smoke and salt."
Linkwood1946 GM,https://www.whiskybase.com/whiskies/whisky/19771/linkwood-1946-gm,,,"A truely wonderful whisky, with a scent of old books, sherry, a little flowery and herbal - mostly parsley.",,"The taste is sweet and just a little bitter, with sherry, raisins, dates, cherries, fresh coconut, and cinnamon. After a while it gets even fruitier, with ripe melons.",,The finish is long with the same tastes slowly fading.,"위스키 이름: Linkwood1946 GM

향(Nose): A truely wonderful whisky, with a scent of old books, sherry, a little flowery and herbal - mostly parsley.

맛(Taste): The taste is sweet and just a little bitter, with sherry, raisins, dates, cherries, fresh coconut, and cinnamon. After a while it gets even fruitier, with ripe melons.

피니쉬(Finish): The finish is long with the same tastes slowly fading."
Laphroaig1980,https://www.whiskybase.com/whiskies/whisky/633/laphroaig-1980,Yeasty,,"Intense and interesting. Give it time and you'll find new flavours.\nRaisins, leather, smoke, dried fruits. Sherry",,A kaleidoscope of flavours with every sip. Again sherry raisins leather coffee and very intense smoke is more in the background.,,Long long long and smooth wow. dried fruits again and at the end we get some smoke iodine and peat but that is just at the end.,"위스키 이름: Laphroaig1980
태그: Yeasty

향(Nose): Intense and interesting. Give it time and you'll find new flavours.\nRaisins, leather, smoke, dried fruits. Sherry

맛(Taste): A kaleidoscope of flavours with every sip. Again sherry raisins leather coffee and very intense smoke is more in the background.

피니쉬(Finish): Long long long and smooth wow. dried fruits again and at the end we get some smoke iodine and peat but that is just at the end."
Bowmore1969 DT,https://www.whiskybase.com/whiskies/whisky/7076/bowmore-1969-dt,"Cooked Fruit,Dried Fruit,Fresh Fruit,Hay-like,Kippery,Medicinal,New Wood,Toasted,Vanilla",94.0,"Very fruity, tropical fruits in the foreground, then citrus fruits and stone fruit, fine malt, hoinig, herbs, mineral notes. Balanced, multi-layered, pronounced intensity, very balanced.",94.0,"Tropical fruits, citric, light dried fruit, peat, vanilla, herbal spices. Very nice texture, delicate, creamy, vanilla sweetness, medium body, nice balance, pronounced intensity",95.0,"Tropical fruits, citric, peat, some mineral notes. Long finish, very good reverberation.","위스키 이름: Bowmore1969 DT
태그: Cooked Fruit,Dried Fruit,Fresh Fruit,Hay-like,Kippery,Medicinal,New Wood,Toasted,Vanilla

향(Nose) [점수: 94.0]: Very fruity, tropical fruits in the foreground, then citrus fruits and stone fruit, fine malt, hoinig, herbs, mineral notes. Balanced, multi-layered, pronounced intensity, very balanced.

맛(Taste) [점수: 94.0]: Tropical fruits, citric, light dried fruit, peat, vanilla, herbal spices. Very nice texture, delicate, creamy, vanilla sweetness, medium body, nice balance, pronounced intensity

피니쉬(Finish) [점수: 95.0]: Tropical fruits, citric, peat, some mineral notes. Long finish, very good reverberation."
Karuizawa1967,https://www.whiskybase.com/whiskies/whisky/11246/karuizawa-1967,,94.0,"What power on the nose. We're on a very, very big Sherry.\nIt is above all the precious wood that stands out, with a nice dose of wax. Then we let ourselves be enchanted by the oily leather, also waxed. A beautiful pair of new shoes that are taken out of their box.\nDried fruits then take over. Figs, dates, almonds, pecans.\nA little Kirsch, plum and a hint of blackcurrant. That continues on the redcurrant and cherry jam.\nThen we go back to the hospital, with a nice dose of camphor and ground black pepper.\nChocolate appears as if by magic. Very black, very bitter. Then it evolves on coffee beans and gingerbread.\nA very light damp earth finishes this nose. However much more discreet on other Karuizawa.\nThis nose is a whole story unfolding. That of 42 years in a magnificent cask.\nWith water: star anise and light smoke.",97.0,"If the nose was powerful, the mouth returns the favor.\nWhat a delight. The jammy fruits are there. Cherry, plum, blackcurrant, currant.\nPrecious wood wraps all these fruits. It is old, waxed, dusty. You can smell the resin of the wood.\nWe bite into a bar of dark chocolate, we breathe our bag of coffee. We bite into a stick of liquorice.\nWe still have this medicinal side, this camphor. Black pepper.\nWe also have the bitterness of Pu Ehr Shu which comes to mingle with that of wood.\nA little cough syrup.\nAn old pipe, an old cigar, a nook in the woods.\nThen to finish a little molasses, freshly laid macadam, motor oil. An old workbench left abandoned.\nBreathtaking complexity.\nWith water: a little smoke, barbecue.",95.0,"Long, delicious finish. Everything is here.\nCamphor, liquorice, dried and red fruits, leather in abundance.\nWe do not forget the pepper, aromatic herbs, tobacco, cigars.\nAnd obviously the wood, in all its nobility, in all its length.\nIt is interminable.","위스키 이름: Karuizawa1967

향(Nose) [점수: 94.0]: What power on the nose. We're on a very, very big Sherry.\nIt is above all the precious wood that stands out, with a nice dose of wax. Then we let ourselves be enchanted by the oily leather, also waxed. A beautiful pair of new shoes that are taken out of their box.\nDried fruits then take over. Figs, dates, almonds, pecans.\nA little Kirsch, plum and a hint of blackcurrant. That continues on the redcurrant and cherry jam.\nThen we go back to the hospital, with a nice dose of camphor and ground black pepper.\nChocolate appears as if by magic. Very black, very bitter. Then it evolves on coffee beans and gingerbread.\nA very light damp earth finishes this nose. However much more discreet on other Karuizawa.\nThis nose is a whole story unfolding. That of 42 years in a magnificent cask.\nWith water: star anise and light smoke.

맛(Taste) [점수: 97.0]: If the nose was powerful, the mouth returns the favor.\nWhat a delight. The jammy fruits are there. Cherry, plum, blackcurrant, currant.\nPrecious wood wraps all these fruits. It is old, waxed, dusty. You can smell the resin of the wood.\nWe bite into a bar of dark chocolate, we breathe our bag of coffee. We bite into a stick of liquorice.\nWe still have this medicinal side, this camphor. Black pepper.\nWe also have the bitterness of Pu Ehr Shu which comes to mingle with that of wood.\nA little cough syrup.\nAn old pipe, an old cigar, a nook in the woods.\nThen to finish a little molasses, freshly laid macadam, motor oil. An old workbench left abandoned.\nBreathtaking complexity.\nWith water: a little smoke, barbecue.

피니쉬(Finish) [점수: 95.0]: Long, delicious finish. Everything is here.\nCamphor, liquorice, dried and red fruits, leather in abundance.\nWe do not forget the pepper, aromatic herbs, tobacco, cigars.\nAnd obviously the wood, in all its nobility, in all its length.\nIt is interminable."
Talisker1955 GM,https://www.whiskybase.com/whiskies/whisky/23839/talisker-1955-gm,,93.0,"A very complex, yet somewhat peculiar nose. Very musky initially. Lemongrass and bitter fruits like skin of grapes and plums. Chestnuts and walnuts. Raosted sweet potatoes. Herbal, lemon liqueur and olive oil. Mints and camphor, and slightly medicinal. Even though it is not specified, I think this is a refill sherry cask.",92.0,"Explodes in your mouth. Lots of oomph here. And yes, this most likely a sherry cask. Cherry cough syrup, orange liqueur. and a hint of honey. Mint and camphor again. A good amount of oak, yes, since this IS 36-37 years old, but definitely not egregious. In fact, it works pretty well here.",90.0,"Minus a point here due to dryness, and the wood is more apparently here. Remains a bit medicinal. Peppery finish (yes, this is Talisker, after all). Adding water is not necessary since it doesn't add to the development. Not a superstar due to somewhat of an uneven balance, but this is a very interesting, cerebral, complex dram that one cannot find in a modern whisky anymore. Miniature bottle.","위스키 이름: Talisker1955 GM

향(Nose) [점수: 93.0]: A very complex, yet somewhat peculiar nose. Very musky initially. Lemongrass and bitter fruits like skin of grapes and plums. Chestnuts and walnuts. Raosted sweet potatoes. Herbal, lemon liqueur and olive oil. Mints and camphor, and slightly medicinal. Even though it is not specified, I think this is a refill sherry cask.

맛(Taste) [점수: 92.0]: Explodes in your mouth. Lots of oomph here. And yes, this most likely a sherry cask. Cherry cough syrup, orange liqueur. and a hint of honey. Mint and camphor again. A good amount of oak, yes, since this IS 36-37 years old, but definitely not egregious. In fact, it works pretty well here.

피니쉬(Finish) [점수: 90.0]: Minus a point here due to dryness, and the wood is more apparently here. Remains a bit medicinal. Peppery finish (yes, this is Talisker, after all). Adding water is not necessary since it doesn't add to the development. Not a superstar due to somewhat of an uneven balance, but this is a very interesting, cerebral, complex dram that one cannot find in a modern whisky anymore. Miniature bottle."
Brora1971 DL,https://www.whiskybase.com/whiskies/whisky/3925/brora-1971-dl,Fragant,95.0,"Intense, powerful, peat, tar, soot, cigar tobacco, some varnish, bonfire, smoke, herbal - great!",95.0,"Punchy, oily, creamy, liquorice, little sweetness, citric, more peat and smoke, more tobacco, more tar, herbs, some fruitiness, peach, hints of vanilla - excellent!",94.0,"Long, warm, herbal, more fruity, more sweetness - very good!","위스키 이름: Brora1971 DL
태그: Fragant

향(Nose) [점수: 95.0]: Intense, powerful, peat, tar, soot, cigar tobacco, some varnish, bonfire, smoke, herbal - great!

맛(Taste) [점수: 95.0]: Punchy, oily, creamy, liquorice, little sweetness, citric, more peat and smoke, more tobacco, more tar, herbs, some fruitiness, peach, hints of vanilla - excellent!

피니쉬(Finish) [점수: 94.0]: Long, warm, herbal, more fruity, more sweetness - very good!"
Miltonduff1966 Ses,https://www.whiskybase.com/whiskies/whisky/3720/miltonduff-1966-ses,Dried Fruit,,"Nothing shy about this one. Just a powerful, old-school sherry-matured whisky. Blackcurrants leading the way, but also a good amount of mirabelles, treacle, rich dark chocolate, white peaches, tinned pineapple, apricots and quinces. There’s a sliver of soy too, which not everybody seems to enjoy in their sherried whiskies, but I certainly do. Also old oak, bung cloth, burnt toast and earthen forest floors.",,"Intensely powerful! Probably partly because of the high abv, but mostly because it’s just a flavour bomb. The mouthfeel is oily, almost syrupy. Loads of dark chocolate, a few mushrooms, a pinch of white pepper, an assortment of berries, some coffee and thyme. Also slivers of cedar, a touch of resin and ginger. Finally slivers of tobacco and menthol.",,"Long. As in, you’ll-taste-this-the-next-day-when-you-wake-up long. Elegant red berries, oak and soft herbs.","위스키 이름: Miltonduff1966 Ses
태그: Dried Fruit

향(Nose): Nothing shy about this one. Just a powerful, old-school sherry-matured whisky. Blackcurrants leading the way, but also a good amount of mirabelles, treacle, rich dark chocolate, white peaches, tinned pineapple, apricots and quinces. There’s a sliver of soy too, which not everybody seems to enjoy in their sherried whiskies, but I certainly do. Also old oak, bung cloth, burnt toast and earthen forest floors.

맛(Taste): Intensely powerful! Probably partly because of the high abv, but mostly because it’s just a flavour bomb. The mouthfeel is oily, almost syrupy. Loads of dark chocolate, a few mushrooms, a pinch of white pepper, an assortment of berries, some coffee and thyme. Also slivers of cedar, a touch of resin and ginger. Finally slivers of tobacco and menthol.

피니쉬(Finish): Long. As in, you’ll-taste-this-the-next-day-when-you-wake-up long. Elegant red berries, oak and soft herbs."
Bowmore1968 DT,https://www.whiskybase.com/whiskies/whisky/27401/bowmore-1968-dt,"Citric,Fresh Fruit,New Wood",,"Yes, the classic 1960s Bowmore mix of cat piss and tropical fruit is clearly there. That means pineapple-cubes, mango and Reine Claudes. Followed by leafy notes mixed with gooseberries and apple mint. Hints of green bananas and some sandal wood. Later on also whiff of eucalyptus, rhododendrons and cut-grass.",,Now the pink grapefruit bitterness marches in accompanied by passion fruit and a little kiwi fruit. Plenty of aniseed and bergamot. Touch of vanilla and honey-clover as well. Faint mineral notes. Gentle peat notes in the background. It's all very fragile but complex. Very nice! .,,"Very long with gentle spices of cinnamon, ginger and white pepper. Menthol in the end.","위스키 이름: Bowmore1968 DT
태그: Citric,Fresh Fruit,New Wood

향(Nose): Yes, the classic 1960s Bowmore mix of cat piss and tropical fruit is clearly there. That means pineapple-cubes, mango and Reine Claudes. Followed by leafy notes mixed with gooseberries and apple mint. Hints of green bananas and some sandal wood. Later on also whiff of eucalyptus, rhododendrons and cut-grass.

맛(Taste): Now the pink grapefruit bitterness marches in accompanied by passion fruit and a little kiwi fruit. Plenty of aniseed and bergamot. Touch of vanilla and honey-clover as well. Faint mineral notes. Gentle peat notes in the background. It's all very fragile but complex. Very nice! .

피니쉬(Finish): Very long with gentle spices of cinnamon, ginger and white pepper. Menthol in the end."
Glenrothes1966,https://www.whiskybase.com/whiskies/whisky/805/glenrothes-1966,Husky,,"Intense, heavy, dark fruits, dried fruits, dates, figs, prunes, burned brown sugar, old rhum, truck loads of raisins - I think most of it has already been mentioned before but it is true. I also get a sea breeze and and some heavy oaky notes. Compared to the 1966 Cask 1438 it is definitely heavier. - Great!",,"Very oily and liquorice, thick, mellow, creamy, but still quite punchy, dark chocolate, espresso, heavy oak and molasses, good sweetness, really not to much drying, all of the dark fruits again.\nWith water more aromas such as toffee, fudge and even some citrus fruits appear - Fantastic!",,"Long and burning, sweet and woody, zesty, not much drying - really good!","위스키 이름: Glenrothes1966
태그: Husky

향(Nose): Intense, heavy, dark fruits, dried fruits, dates, figs, prunes, burned brown sugar, old rhum, truck loads of raisins - I think most of it has already been mentioned before but it is true. I also get a sea breeze and and some heavy oaky notes. Compared to the 1966 Cask 1438 it is definitely heavier. - Great!

맛(Taste): Very oily and liquorice, thick, mellow, creamy, but still quite punchy, dark chocolate, espresso, heavy oak and molasses, good sweetness, really not to much drying, all of the dark fruits again.\nWith water more aromas such as toffee, fudge and even some citrus fruits appear - Fantastic!

피니쉬(Finish): Long and burning, sweet and woody, zesty, not much drying - really good!"
Fettercairn1978 UD,https://www.whiskybase.com/whiskies/whisky/89252/fettercairn-1978-ud,"Chocolate,Coal-gas,Dried Fruit,Fresh Fruit,Nutty",90.0,"A nice nose smells spicy & fruity, oils of various descriptions, wood varnish, teak oil, and then there is a basket of stewed fruits, mango, peach and then some rich fruit cake.\nIt is very restrained for 53% personally I was expecting this to be more expressive??",92.0,"Peat and lots of it that I did not detect on the nose, and a nice sherry that is perfectly weighted with a nice blast of fruit and even nicer blast of spice, this is a fizzy one, there is a little woody bitterness and that is something I am really sensitive to but this is in acceptable limits even for me.\nThe spice and peat seem to grow, some ginger creeping in but the bitterness grows a little too",91.0,"good length, spicy to the finish.\nWith Water :-\nThere is an orange note now on the nose, and the palate has smoothed out now to a certain extent on the mouthfeel but the peat has grown along with the spice and the fruit while still there, is in the background","위스키 이름: Fettercairn1978 UD
태그: Chocolate,Coal-gas,Dried Fruit,Fresh Fruit,Nutty

향(Nose) [점수: 90.0]: A nice nose smells spicy & fruity, oils of various descriptions, wood varnish, teak oil, and then there is a basket of stewed fruits, mango, peach and then some rich fruit cake.\nIt is very restrained for 53% personally I was expecting this to be more expressive??

맛(Taste) [점수: 92.0]: Peat and lots of it that I did not detect on the nose, and a nice sherry that is perfectly weighted with a nice blast of fruit and even nicer blast of spice, this is a fizzy one, there is a little woody bitterness and that is something I am really sensitive to but this is in acceptable limits even for me.\nThe spice and peat seem to grow, some ginger creeping in but the bitterness grows a little too

피니쉬(Finish) [점수: 91.0]: good length, spicy to the finish.\nWith Water :-\nThere is an orange note now on the nose, and the palate has smoothed out now to a certain extent on the mouthfeel but the peat has grown along with the spice and the fruit while still there, is in the background"
Ardbeg1974,https://www.whiskybase.com/whiskies/whisky/1288/ardbeg-1974,,,"9,0 Ostra z nutą cytryny, soli, owoców morza, wędzonego sera oraz dymu torfowego.",,"9,1 Dość mocno torfowa, delikatnie medyczna z nutami pomarańczy, soli morskiej oraz ziela angielskiego.",,"9,1 Długi, rozgrzewający z odrobiną torfu oraz pomarańczy z akcentem soli morskiej oraz wędzonych ryb.","위스키 이름: Ardbeg1974

향(Nose): 9,0 Ostra z nutą cytryny, soli, owoców morza, wędzonego sera oraz dymu torfowego.

맛(Taste): 9,1 Dość mocno torfowa, delikatnie medyczna z nutami pomarańczy, soli morskiej oraz ziela angielskiego.

피니쉬(Finish): 9,1 Długi, rozgrzewający z odrobiną torfu oraz pomarańczy z akcentem soli morskiej oraz wędzonych ryb."
Highland Park1967 DT,https://www.whiskybase.com/whiskies/whisky/19733/highland-park-1967-dt,"Chocolate,Citric,Dried Fruit,Hay-like,Leathery,Nutty,Sherried,Toasted,Tobacco",96.0,"Acacia honey galore, truck loads of rum soaked raisins, molasses, brown sugar, tobacco, toffee, sherry wood, dried fruits, plums, dates, figs, prunes, nutmeg - excellent!",97.0,"Oily, creamy, liquorice, good sweetness, menthol, eucalyptus, pipe tobacco, toffee, more dried fruits, sherry wood, spices, nutmeg, cloves, molasses, xmas spice - delicious!",95.0,"Long, warm, little more woody and spicy, not drying, more toffee, chocolate - great!","위스키 이름: Highland Park1967 DT
태그: Chocolate,Citric,Dried Fruit,Hay-like,Leathery,Nutty,Sherried,Toasted,Tobacco

향(Nose) [점수: 96.0]: Acacia honey galore, truck loads of rum soaked raisins, molasses, brown sugar, tobacco, toffee, sherry wood, dried fruits, plums, dates, figs, prunes, nutmeg - excellent!

맛(Taste) [점수: 97.0]: Oily, creamy, liquorice, good sweetness, menthol, eucalyptus, pipe tobacco, toffee, more dried fruits, sherry wood, spices, nutmeg, cloves, molasses, xmas spice - delicious!

피니쉬(Finish) [점수: 95.0]: Long, warm, little more woody and spicy, not drying, more toffee, chocolate - great!"
Bowmore1965,https://www.whiskybase.com/whiskies/whisky/55480/bowmore-1965,,93.0,"Beautiful to be honest, stewed fruits galore, mango, peach, plum hints of orange but to go with that is brine and a little peat.\nWarm French pastry, fresh out the oven, and then something a little herbal and little floral with a returning biscuit note.\nIf you leave it for 15 minutes some sweet cigar smoke emerges.",94.0,"Fizzy and fruity is my first impression the fruit is is the front of the palate and coats your tongue, syrupy if you like and the fruit that the nose suggested is in the palate and then some.\nThe fruit is not sharp but like a well stewed fruit cocktail.\nThe peat is kept in check by the fruit and the is a lovely salted caramel note that adds to the overall profile.",93.0,"Very elegant, sweet, fruity with the peat growing but always in the background.","위스키 이름: Bowmore1965

향(Nose) [점수: 93.0]: Beautiful to be honest, stewed fruits galore, mango, peach, plum hints of orange but to go with that is brine and a little peat.\nWarm French pastry, fresh out the oven, and then something a little herbal and little floral with a returning biscuit note.\nIf you leave it for 15 minutes some sweet cigar smoke emerges.

맛(Taste) [점수: 94.0]: Fizzy and fruity is my first impression the fruit is is the front of the palate and coats your tongue, syrupy if you like and the fruit that the nose suggested is in the palate and then some.\nThe fruit is not sharp but like a well stewed fruit cocktail.\nThe peat is kept in check by the fruit and the is a lovely salted caramel note that adds to the overall profile.

피니쉬(Finish) [점수: 93.0]: Very elegant, sweet, fruity with the peat growing but always in the background."
